Tip_name,Floral_architecture_code
PAPILIONOIDEAE_Pseudovigna_argentea_Doyle1012_EU717403,1
PAPILIONOIDEAE_Calopogonium_sp_Kanu9_JQ669608,1
PAPILIONOIDEAE_Neustanthus_phaseoloides_Doyle1105_EU717404,1
PAPILIONOIDEAE_Sinodolichos_lagopus_Collins1699_KX213233,1
PAPILIONOIDEAE_Dumasia_truncata_Kasai3873_LC197940,1
PAPILIONOIDEAE_Dumasia_villosa_Doyle1491_EU717406,1
PAPILIONOIDEAE_Cologania_angustifolia_Wojciechowski1412_GQ246140,1
PAPILIONOIDEAE_Cologania_obovata_Mendoza16933_EU717405,1
PAPILIONOIDEAE_Cologania_pallida_Worthington35590_JQ619980,1
PAPILIONOIDEAE_Cologania_broussonetii_McGill9438_JQ619979,1
PAPILIONOIDEAE_Cologania_hintoniorum_Ochoterena94_AY583014,1
PAPILIONOIDEAE_Toxicopueraria_peduncularis_Egan12220_KX213201,1
PAPILIONOIDEAE_Toxicopueraria_yunnanensis_Egan12262_KX213229,1
PAPILIONOIDEAE_Harashuteria_hirsuta_LC197941,1
PAPILIONOIDEAE_Erythrina_poeppigiana_Dexter6376_KY118275,1
PAPILIONOIDEAE_Erythrina_ulei_Pennington1986_KY045876,1
PAPILIONOIDEAE_Erythrina_mulungu_Neves1920_KY046048,1
PAPILIONOIDEAE_Erythrina_speciosa_MeirelesSN_KX816365,1
PAPILIONOIDEAE_Erythrina_verna_Silva904_KX816366,1
PAPILIONOIDEAE_Erythrina_falcata_Pennington1152_KY045875,1
PAPILIONOIDEAE_Erythrina_fusca_AssuncaoSN_KX816364,1
PAPILIONOIDEAE_Erythrina_amazonica_Neves2045_KY046047,1
PAPILIONOIDEAE_Erythrina_cristagalli_Wojciechowski894_AY386869,1
PAPILIONOIDEAE_Erythrina_edulis_Dexter5943_KY045881,1
PAPILIONOIDEAE_Erythrina_herbacea_Choi1906006_NC067539,1
PAPILIONOIDEAE_Erythrina_similis_Neves1917_KY046049,1
PAPILIONOIDEAE_Erythrina_sousae_Bruneau455_EU717411,1
PAPILIONOIDEAE_Erythrina_velutina_Pennington817_KY045858,0
